identifiant,password,nomDeNaissance,prenom,secondPrenom,titre,Gender,email,telephone,birthdate,AAAA,MM,JJ,departementDeNaissance,codeCommune,regionDeNaissance,codePaysDeNaissance,adresseFormatee,siren,siret,serviceAffectation,populationAppartenance,position,job,createdAt,updatedAt
56120,Portalis.1,DELESTABLE,Marie,,,female,Marie-claire.guillermic@justice.gouv.fr,0681188643,1988-02-17,1988,02,17,84,13201,93,99100,1 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
41235678904,recettepju,DELPIERRE,Laurent,,,male,ex.laura.siewe@justice.gouv.fr,0612345678,1970-05-22,1970,05,22,84,13201,93,99100,2 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
124578,recettepju,LAGRANGE,Cécile,,,female,ex.laura.siewe@justice.gouv.fr,0612345678,1964-06-14,1964,06,14,84,13201,93,99100,3 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
235689,recettepju,FOURMONT,Jean-Pierre,,,male,ex.laura.siewe@justice.gouv.fr,0612345678,1969-06-12,1969,06,12,84,13201,93,99100,4 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
784512,recettepju,CARPETTE,Bernard,,,male,ex.laura.siewe@justice.gouv.fr,0612345678,1984-02-05,1984,02,05,84,13201,93,99100,5 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
859612,recettepju,COUETTE,Aurélie,,,female,ex.laura.siewe@justice.gouv.fr,0612345678,1983-02-07,1983,02,07,84,13201,93,99100,6 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258694,recettepju,LEVELO,Gaspard,,,male,laura.siewe@externes.justice.gouv.fr,0652546598,1979-01-02,1979,01,02,84,13201,93,99100,7 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258695,recettepju,SQUASH,Michelle,,,female,laura.siewe@externes.justice.gouv.fr,0612345678,14/04/1972,1972,04,14,84,13201,93,99100,8 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258696,recettepju,ALERTE,Marvin,,,male,laura.siewe@externes.justice.gouv.fr,0612345679,14/04/1973,1973,04,14,84,13201,93,99100,9 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258697,recettepju,DESVIGNES,Pierre,,,male,laura.siewe@externes.justice.gouv.fr,0612345680,14/04/1974,1974,04,14,84,13201,93,99100,10 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258698,recettepju,D'ORLEANS,Jean-Christophe,,,male,laura.siewe@externes.justice.gouv.fr,0612345681,14/04/1975,1975,04,14,84,13201,93,99100,11 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258699,recettepju,DUROC,Geneviève,,,female,laura.siewe@externes.justice.gouv.fr,0612345682,14/04/1976,1976,04,14,84,13201,93,99100,12 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258700,recettepju,FRANCO,Bénito,,,male,laura.siewe@externes.justice.gouv.fr,0612345683,14/04/1977,1977,04,14,84,13201,93,99100,13 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258701,recettepju,LAPORTE,Gérard,,,male,laura.siewe@externes.justice.gouv.fr,0612345684,14/04/1978,1978,04,14,84,13201,93,99100,14 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258702,recettepju,MONVOISIN,Jules,,,male,laura.siewe@externes.justice.gouv.fr,0612345685,14/04/1979,1979,04,14,84,13201,93,99100,15 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258703,recettepju,NUMERO,Ernest,,,male,laura.siewe@externes.justice.gouv.fr,0612345686,14/04/1980,1980,04,14,84,13201,93,99100,16 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258704,recettepju,ROBIN,Jean-Marc,,,male,laura.siewe@externes.justice.gouv.fr,0612345687,14/04/1981,1981,04,14,84,13201,93,99100,17 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258705,recettepju,TODAY,Natacha,,,female,laura.siewe@externes.justice.gouv.fr,0612345688,14/04/1982,1982,04,14,84,13201,93,99100,18 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
258706,recettepju,UNE-DE-PLUS,Anne-Marie,,,female,laura.siewe@externes.justice.gouv.fr,0612345689,14/04/1983,1983,04,14,84,13201,93,99100,19 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
265497,recettepju,MONVOISIN,Jonathan,,,male,laura.siewe@externes.justice.gouv.fr,0612345690,01/01/1980,1980,01,01,84,13201,93,99101,20 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
265666,recettepju,TEST1,TestFC,,,male,laura.siewe@externes.justice.gouv.fr,0612345690,1984-01-01,1984,01,01,84,13201,93,99101,21 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
265777,recettepju,TEST2,TestFC1,,,female,laura.siewe@externes.justice.gouv.fr,0612345680,1984-01-01,1984,01,01,84,13201,93,99101,22 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
265888,recettepju,TEST3,TestFC3,,,male,laura.siewe@externes.justice.gouv.fr,0612345670,1984-01-01,1984,01,01,84,13201,93,99101,23 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
265999,recettepju,TEST4,TestFC4,,,female,laura.siewe@externes.justice.gouv.fr,0612345660,1984-01-01,1984,01,01,84,13201,93,99101,24 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
5121,recettepju,SATI,Créancier 1,,,female,laura.siewe@externes.justice.gouv.fr,,1984-01-01,1984,01,01,84,13201,93,99101,25 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
5122,recettepju,SATI,Créancier 2,,,female,laura.siewe@externes.justice.gouv.fr,,1984-01-01,1984,01,01,84,13201,93,99101,26 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
5123,recettepju,SATI,Débiteur 1,,,female,laura.siewe@externes.justice.gouv.fr,,1984-01-01,1984,01,01,84,13201,93,99101,27 rue de la gare 75019 Paris,,,MJ,Agent,,RIME,2019-04-18T11:34:46:000Z,2019-04-18T11:34:46:000Z
